"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H2109","National PACE","National PACE","THE JOHNS HOPKINS HEALTH SYSTEM CORPORATION","Hopkins ElderPlus","The Johns Hopkins Health System Corporation","11/01/2002","Yes","*","136","136"
"H2117","Local CCP","Local PPO","MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","711","7850","8561"
"H2128","Local CCP","Local PPO","CELTIC INSURANCE COMPANY","Wellcare","Centene Corporation","01/01/2022","Yes","*","3424","3424"
"H2134","Local CCP","HMO/HMOPOS","WESTERN SKY COMMUNITY CARE, INC.","Wellcare by Allwell","Centene Corporation","01/01/2019","Yes","*","10721","10721"
"H2162","Local CCP","HMO/HMOPOS","WELLCARE OF NEW HAMPSHIRE, INC.","Wellcare","Centene Corporation","01/01/2020","Yes","*","1242","1242"
"H2168","Local CCP","HMO/HMOPOS","VILLAGE SENIOR SERVICES CORPORATION","VillageCareMAX","Village Care of New York, Inc.","01/01/2017","Yes","*","3901","3901"
"H2171","Local CCP","HMO/HMOPOS","CARE N' CARE INSURANCE COMPANY, INC.","Care N' Care Insurance Company","Texas Health Resources","01/01/2015","Yes","*","2543","2543"
"H2172","Local CCP","HMO/HMOPOS","KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","01/01/2018","Yes","1137","109702","110839"
"H2174","Local CCP","HMO/HMOPOS","TRILLIUM COMMUNITY HEALTH PLAN, INC.","Wellcare by Trillium","Centene Corporation","01/01/2007","Yes","*","1822","1822"
"H2185","Local CCP","HMO/HMOPOS","LIFEWORKS ADVANTAGE, LLC","LifeWorks Advantage","Innovative Long Term Care Management, Inc.","01/01/2017","Yes","*","388","388"
"H2218","National PACE","National PACE","HARBOR HEALTH SERVICES, INC.","Elder Service Plan of Harbor Health Services, Inc","Harbor Health Services, Inc.","11/01/2002","Yes","*","562","562"
"H2219","National PACE","National PACE","FALLON COMMUNITY HEALTH PLAN","Fallon Health","Fallon Community Health Plan, Inc.","11/01/2002","Yes","*","1330","1330"
"H2220","National PACE","National PACE","UPHAMS CORNER HEALTH COMMITTEE, INC.","Upham's PACE","Uphams Corner Health Committee, Inc.","11/01/2002","Yes","*","253","253"
"H2221","National PACE","National PACE","CAMBRIDGE PUBLIC HEALTH COMMISSION","CHA PACE","Cambridge Health Alliance","11/01/2002","Yes","*","604","604"
"H2222","National PACE","National PACE","ELEMENT CARE, INC.","Element Care, Inc","Element Care, Inc.","11/01/2003","Yes","*","969","969"
"H2223","National PACE","National PACE","East Boston Neighborhood Center Corp.","Neighborhood PACE","East Boston Neighborhood Center Corp.","11/01/2003","Yes","*","719","719"
"H2224","Local CCP","HMO/HMOPOS","SENIOR WHOLE HEALTH, LLC","Senior Whole Health","Molina Healthcare, Inc.,","08/01/2004","Yes","*","12007","12007"
"H2225","Local CCP","HMO/HMOPOS","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance Massachusetts","Commonwealth Care Alliance, Inc.","06/01/2004","Yes","*","14925","14925"
"H2226","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealth Group, Inc.","03/01/2004","Yes","*","22483","22483"
"H2230","Local CCP","Local PPO","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Blue Cross and Blue Shield of Massachusetts, Inc.","09/01/2005","Yes","*","71132","71132"
"H2235","Local CCP","HMO/HMOPOS","BAYCARE SELECT HEALTH PLANS, INC.","BayCare Health Plans","BayCare Health System, Inc.","01/01/2019","Yes","*","13237","13237"
"H2237","Local CCP","HMO/HMOPOS","INDEPENDENT CARE HEALTH PLAN","iCare","Humana Inc.","01/01/2007","Yes","*","9478","9478"
"H2246","Local CCP","Local PPO","SELECTHEALTH, INC.","Select Health","Intermountain Health Care, Inc.","01/01/2023","Yes","19","2531","2550"
"H2247","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE COMMUNITY PLAN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","*","33765","33765"
"H2256","Local CCP","HMO/HMOPOS","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Point32Health, Inc.","07/01/1994","Yes","5968","93768","99736"
