"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H4326","National PACE","National PACE","PACE @ HOME, INC.","PACE@Home","PACE @ Home","12/01/2011","Yes","*","145","145"
"H4343","Local CCP","HMO/HMOPOS","CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2021","Yes","*","980","980"
"H4346","Local CCP","HMO/HMOPOS","HMO COLORADO, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2010","Yes","*","10311","10311"
"H4393","National PACE","National PACE","CATHOLIC MANAGED LONG TERM CARE, INC.","ArchCare Senior Life","Catholic Health Care System","09/01/2009","Yes","*","695","695"
"H4402","National PACE","National PACE","ALEXIAN BROTHERS COMMUNITY SERVICES","Ascension Living Alexian PACE","Ascension Health Alliance","11/01/2002","Yes","*","266","266"
"H4407","Local CCP","HMO/HMOPOS","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Cigna Healthcare","The Cigna Group","07/01/2005","Yes","330","12551","12881"
"H4439","Local CCP","HMO/HMOPOS","PROVIDER PARTNERS HEALTH PLAN OF NORTH CAROLINA","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC","01/01/2024","Yes","*","46","46"
"H4461","Local CCP","HMO/HMOPOS","CARITEN HEALTH PLAN INC.","Humana","Humana Inc.","01/01/1998","Yes","8922","157970","166892"
"H4471","Local CCP","HMO/HMOPOS","BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN LLC","Anthem Blue Cross Partnership Plan","Elevance Health, Inc.","01/01/2024","Yes","*","70910","70910"
"H4490","Local CCP","HMO/HMOPOS","AMERICAN HEALTH PLAN OF MISSOURI, INC.","American Health Advantage of Missouri","Mitchell Family Office","01/01/2016","Yes","*","473","473"
"H4497","Local CCP","Local PPO","MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","MEDICAL MUTUAL OF OHIO","01/01/2016","Yes","336","10243","10579"
"H4506","Local CCP","HMO/HMOPOS","SELECTCARE OF TEXAS, INC.","Wellcare","Centene Corporation","03/01/2001","Yes","794","28815","29609"
"H4513","Local CCP","HMO/HMOPOS","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Cigna Healthcare","The Cigna Group","03/01/2001","Yes","6655","268336","274991"
"H4514","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealthcare","UnitedHealth Group, Inc.","08/01/2002","Yes","*","74396","74396"
"H4517","National PACE","National PACE","AMARILLO MULTISVC CTR FR THE AGING INC","The Basics at Jan Werner","Amarillo Multisvc Ctr Fr the Aging Inc","03/01/2004","Yes","*","133","133"
"H4518","National PACE","National PACE","BIENVIVIR SENIOR HEALTH SERVICES","Bienvivir Senior Health Services","Bienvivir Senior Health Services","11/01/2003","Yes","*","794","794"
"H4523","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (TX)","Aetna Medicare","CVS Health Corporation","08/01/2005","Yes","65","13467","13532"
"H4527","Local CCP","HMO/HMOPOS","PHYSICIANS HEALTH CHOICE OF TEXAS, LLC","UnitedHealthcare","UnitedHealth Group, Inc.","08/01/2005","Yes","1559","159405","160964"
"H4537","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","*","573","573"
"H4544","Local CCP","Local PPO","PEOPLES HEALTH, INC.","Peoples Health","UnitedHealth Group, Inc.","01/01/2021","Yes","1142","3353","4495"
"H4556","HCPP - 1833 Cost","HCPP - 1833 Cost","CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC","Consolidated Assoc Of Railroad Employees Hc","Consolidated Assoc of Railroad Employees HC","01/01/1992","No","1194","*","1194"
"H4604","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF THE ROCKIES, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2005","Yes","9781","115767","125548"
"H4605","Local CCP","Local PPO","REGENCE BLUECROSS BLUESHIELD OF UTAH","Regence BlueCross BlueShield of Utah","Cambia Health Solutions, Inc.","07/01/2005","Yes","434","7148","7582"
"H4620","Local CCP","Local PPO","ESSENCE HEALTHCARE OF OHIO, INC.","Essence Healthcare","Lumeris Group Holdings Corporation","01/01/2023","Yes","*","150","150"
"H4623","Local CCP","HMO/HMOPOS","HUMANA REGIONAL HEALTH PLAN, INC.","Humana","Humana Inc.","01/01/2019","Yes","*","15783","15783"
"H4624","Local CCP","HMO/HMOPOS","ZING HEALTH OF MICHIGAN, INC.","Zing Health","Zing Health Consolidator, Inc","01/01/2021","Yes","*","4328","4328"
"H4626","National PACE","National PACE","myPlace Greater LA PACE Inc.","myPlace PACE","Prosper Services LLC","01/01/2024","Yes","*","*","*"
"H4661","Local CCP","HMO/HMOPOS","CELTIC INSURANCE COMPANY","Wellcare","Centene Corporation","01/01/2024","Yes","*","109","109"
"H4676","Local CCP","HMO/HMOPOS","TROY HEALTH, INC.","Troy Medicare","Troy Holdings, Inc.","01/01/2020","Yes","*","2217","2217"
"H4699","Local CCP","Local PPO","WELLCARE HEALTH PLANS OF RHODE ISLAND, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","*","1368","1368"
"H4704","Local CCP","Local PPO","ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY","Anthem Blue Cross Life and Health Company","Elevance Health, Inc.","01/01/2024","Yes","*","9944","9944"
"H4711","Local CCP","HMO/HMOPOS","COVENTRY HEALTH CARE OF NEBRASKA, INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","495","16982","17477"
"H4714","National PACE","National PACE","PACE OF THE SOUTHERN PIEDMONT, INC.","PACE of the Southern Piedmont","PACE of the Southern Piedmont, Inc.","05/01/2013","Yes","*","192","192"
"H4733","Local CCP","HMO/HMOPOS","COMMUNITY HEALTH GROUP","Community Health Group","Community Health Group","01/01/2023","Yes","*","6788","6788"
"H4739","Local CCP","HMO/HMOPOS","SELECT HEALTH OF SOUTH CAROLINA, INC.","First Choice VIP Care (HMO-D-SNP)","Independence Health Group, Inc.","01/01/2022","Yes","*","168","168"
"H4754","Local CCP","Local PPO","PACIFICSOURCE COMMUNITY HEALTH PLANS","PacificSource Medicare","PacificSource","01/01/2010","Yes","1429","6568","7997"
"H4801","Local CCP","Local PPO","GHS INSURANCE COMPANY","Blue Cross and Blue Shield of OK, TX","Health Care Service Corporation","01/01/2022","Yes","291","16178","16469"
"H4808","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","3366","3366"
"H4835","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH OF OKLAHOMA INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","*","6132","6132"
"H4847","Local CCP","HMO/HMOPOS","WELLCARE OF SOUTH CAROLINA, INC.","Wellcare","Centene Corporation","01/01/2019","Yes","496","7423","7919"
"H4863","Local CCP","HMO/HMOPOS","TRH HEALTH INSURANCE COMPANY","Farm Bureau Health Plans","Tennessee Rural Health Improvement Association","01/01/2023","Yes","*","913","913"
"H4868","Local CCP","HMO/HMOPOS","NEW YORK QUALITY HEALTHCARE CORPORATION","Wellcare","Centene Corporation","01/01/2018","Yes","191","62112","62303"
"H4869","Local CCP","HMO/HMOPOS","GOLD KIDNEY OF ARIZONA","Gold Kidney Health Plan","Gold Kidney Health Plan","01/01/2023","Yes","*","591","591"
"H4875","Local CCP","Local PPO","PRIORITY HEALTH","Priority Health Medicare","Corewell Health","01/01/2010","Yes","*","80430","80430"
"H4882","Local CCP","Local PPO","HEALTHPARTNERS, INC.","HealthPartners","HealthPartners, Inc.","01/01/2018","Yes","21","42403","42424"
"H4906","HCPP - 1833 Cost","HCPP - 1833 Cost","C AND O EMPLOYEES' HOSPITAL ASSOCIATION","C and O Employees' Hospital Association","C & O Employees' Hospital Association","05/01/1999","No","1497","*","1497"
"H4909","Local CCP","Local PPO","ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","07/01/2005","Yes","4146","29125","33271"
"H4919","National PACE","National PACE","INNOVAGE FLORIDA PACE, LLC","InnovAge Florida  PACE - Tampa","Total Community Options, Inc","01/01/2024","Yes","*","*","*"
"H4931","Local CCP","HMO/HMOPOS","BANNER - UNIVERSITY CARE ADVANTAGE","Banner Medicare Advantage","Banner Health","01/01/2015","Yes","*","12849","12849"
"H4937","Local CCP","Local PPO","CALIFORNIA PHYSICIANS' SERVICE","Blue Shield of California","California Physicians' Service","01/01/2020","Yes","*","20032","20032"
"H4943","Local CCP","HMO/HMOPOS","Scott & White Care Plans","Baylor Scott & White Health Plan","Baylor Scott & White Holdings","01/01/2023","Yes","*","196","201"
"H4961","Local CCP","Local PPO","ALIGNMENT HEALTH PLAN","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2020","Yes","*","6590","6590"
"H4982","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH OF CALIFORNIA INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","320","24331","24651"
"H4999","National PACE","National PACE","LIFE Northwestern Pennsylvania, LLC","LIFE Northwestern Pennsylvania","One Senior Care, Inc.","11/01/2013","Yes","*","641","641"
"H5007","National PACE","National PACE","PROVIDENCE HEALTH SYSTEM","Providence Health System","Providence Health & Services","11/01/2002","Yes","*","1112","1112"
"H5008","Local CCP","HMO/HMOPOS","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","07/01/2005","Yes","*","120923","120923"
"H5009","Local CCP","Local PPO","REGENCE BLUESHIELD","Regence BlueShield","Cambia Health Solutions, Inc.","07/01/2005","Yes","1310","25042","26352"
"H5010","Local CCP","Local PPO","ASURIS NORTHWEST HEALTH","Asuris Northwest Health","Cambia Health Solutions, Inc.","07/01/2005","Yes","83","1225","1308"
"H5015","Local CCP","HMO/HMOPOS","TEXAS INDEPENDENCE HEALTH PLAN, INC.","Texas Independence Health Plan","Regency ISNP Holdings LLC","01/01/2020","Yes","*","2219","2219"
"H5037","National PACE","National PACE","MOUNTAIN EMPIRE OLDER CITIZENS, INC.","Mountain Empire PACE","Mountain Empire Older Citizens, Inc","03/01/2008","Yes","*","80","80"
"H5042","Local CCP","Local PPO","CDPHP UNIVERSAL BENEFITS, INC.","CDPHP Medicare Advantage","Capital District Physicians' Health Plan, Inc.","01/01/2008","Yes","758","9450","10208"
"H5050","Local CCP","HMO/HMOPOS","KAISER FOUNDATION HEALTH PLAN OF WASHINGTON","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","01/01/1989","Yes","30430","68709","99139"
"H5080","National PACE","National PACE","BOLDAGE PACE INDIANA, LLC","BoldAge PACE Indiana","Beacon Care Ventures LLC DBA BoldAge PACE","02/01/2024","Yes","*","*","*"
"H5085","National PACE","National PACE","COMMUNITY PACE AT HOME, INC","Community PACE at Home, Inc,","Community PACE at Home, Inc","07/01/2017","Yes","*","94","94"
"H5087","Local CCP","HMO/HMOPOS","WELLCARE OF CALIFORNIA, INC.","Wellcare","Centene Corporation","01/01/2008","Yes","*","19434","19434"
"H5106","Local CCP","Local PPO","HIGHMARK SENIOR SOLUTIONS COMPANY","Highmark Blue Cross Blue Shield","Highmark Health","07/01/2005","Yes","337","16306","16643"
"H5117","Local CCP","HMO/HMOPOS","LOUISIANA HEALTHCARE CONNECTIONS, INC.","Wellcare by Allwell","Centene Corporation","01/01/2018","Yes","*","*","*"
"H5124","National PACE","National PACE","FRANCISCAN ACO, INC.","Franciscan  Senior Health & Wellness","Franciscan Alliance, Inc.","01/01/2015","Yes","*","240","240"
"H5140","Local CCP","Local PPO","BLUE CROSS AND BLUE SHIELD ARIZONA, INC.","Blue Cross Blue Shield of Arizona (AZ Blue)","Blue Cross Blue Shield of Arizona","01/01/2020","Yes","*","2140","2140"
"H5141","Local CCP","Local PPO","CLOVER INSURANCE COMPANY","Clover Health","Clover Health Holdings, Inc.","01/01/2013","Yes","268","75550","75818"
"H5163","Local CCP","HMO/HMOPOS","VERDA HEALTH PLAN OF TEXAS INC","Verda Health Plan of Texas","Verda Healthcare, Inc.","01/01/2024","Yes","*","151","151"
"H5167","National PACE","National PACE","ROCKY MOUNTAIN HEALTH CARE SERVICES","Rocky Mountain PACE","Rocky Mountain Health Care Services","12/01/2008","Yes","*","914","914"
"H5178","Local CCP","HMO/HMOPOS","HUMANA HEALTH PLAN, INC.","Humana","Humana Inc.","01/01/2020","Yes","*","160","160"
"H5190","Local CCP","HMO/HMOPOS","SUNSHINE STATE HEALTH PLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2013","Yes","*","*","*"
"H5199","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","Wellcare","Centene Corporation","01/01/2018","Yes","*","7669","7669"
"H5209","Local CCP","HMO/HMOPOS","My Choice Wisconsin Health Plan, Inc.","My Choice Wisconsin Health Plan","Molina Healthcare, Inc.,","01/01/1999","Yes","*","1966","1966"
"H5211","Local CCP","HMO/HMOPOS","SECURITY HEALTH PLAN OF WISCONSIN, INC.","Security Health Plan of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.","08/01/2002","Yes","21956","42557","64513"
"H5212","National PACE","National PACE","COMMUNITY CARE, INC.","Community Care","Community Care, Inc.","11/01/2003","Yes","*","494","494"
"H5213","National PACE","National PACE","TOTAL COMMUNITY CARE, L.L.C.","InnovAge New Mexico PACE","Total Community Options, Inc.","06/01/2004","Yes","*","466","466"
"H5215","Local CCP","Local PPO","NETWORK HEALTH INSURANCE CORPORATION","Network Health Medicare Advantage Plans","Network Health, Inc.","01/01/2005","Yes","1587","72536","74123"
"H5216","Local CCP","Local PPO","HUMANA INSURANCE COMPANY","Humana","Humana Inc.","07/01/2005","Yes","293048","2326680","2619728"
"H5232","Local CCP","Local PPO","PARAMOUNT INSURANCE COMPANY","Paramount Elite Medicare Plans","Promedica Health System, Inc.","01/01/2020","Yes","18","154","172"
"H5244","Local CCP","HMO/HMOPOS","SCAN HEALTH PLAN NEW MEXICO","SCAN Health Plan New Mexico","SCAN Group","01/01/2024","Yes","*","48","48"
"H5253","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","08/01/1995","Yes","30082","776432","806514"
"H5256","1876 Cost","1876 Cost","MEDICAL ASSOCIATES CLINIC HEALTH PLAN","Medical Associates Clinic Health Plan of Wisconsin","Medical Associates Clinic, P.C.","02/01/1996","No","4488","*","4488"
"H5262","Local CCP","HMO/HMOPOS","QUARTZ HEALTH PLAN CORPORATION","Quartz Medicare Advantage","University of Wisconsin Hospitals and Clincs Autho","08/01/1999","Yes","3366","28338","31704"
"H5264","1876 Cost","1876 Cost","DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.","Medica Holding Company","01/01/1999","No","12966","*","12966"
"H5273","Local CCP","HMO/HMOPOS","CAREPARTNERS OF CONNECTICUT, INC.","CarePartners of Connecticut","Point32Health, Inc.","01/01/2019","Yes","*","5849","5849"
"H5280","Demo","Medicare-Medicaid Plan HMO/HMOPOS","MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare of Ohio","Molina Healthcare, Inc.,","05/01/2014","Yes","*","12904","12904"
"H5294","Local CCP","HMO/HMOPOS","SUPERIOR HEALTHPLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2008","Yes","418","32920","33338"
"H5296","Local CCP","HMO/HMOPOS","ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2021","Yes","*","4494","4494"
"H5299","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF NORTH CAROLINA INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","2293","2293"
"H5302","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (GA)","Aetna Medicare","CVS Health Corporation","01/01/2007","Yes","*","10268","10268"
"H5309","Local CCP","Local PPO","AETNA HEALTH OF CALIFORNIA INC.","Aetna Medicare","CVS Health Corporation","01/01/2024","Yes","152","1434","1586"
"H5322","Local CCP","HMO/HMOPOS","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2014","Yes","2676","213392","216068"
"H5325","Local CCP","HMO/HMOPOS","COVENTRY HEALTH CARE OF KANSAS, INC.","Aetna Medicare","CVS Health Corporation","01/01/2019","Yes","*","27624","27624"
"H5361","Local CCP","Local PPO","AMERIHEALTH INSURANCE COMPANY OF NEW JERSEY","AmeriHealth","Independence Health Group, Inc.","01/01/2024","Yes","*","2845","2845"
"H5373","Local CCP","HMO/HMOPOS","PARAMOUNT CARE OF INDIANA, INC.","Paramount Elite Medicare Plans","Promedica Health System, Inc.","01/01/2021","Yes","*","11","11"
"H5374","Local CCP","HMO/HMOPOS","LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC.","Longevity Health Plan","Longevity Health Founders, LLC","01/01/2021","Yes","*","1003","1003"
"H5377","Local CCP","HMO/HMOPOS","HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.","Humana","Humana Inc.","01/01/2019","Yes","*","2209","2209"
"H5386","Local CCP","HMO/HMOPOS","SHARP HEALTH PLAN","Sharp Health Plan","Sharp Healthcare","01/01/2015","Yes","*","14367","14367"
"H5398","Local CCP","HMO/HMOPOS","CENTENE VENTURE COMPANY KANSAS","Wellcare by Allwell","Centene Corporation","01/01/2020","Yes","*","1054","1054"
"H5403","National PACE","National PACE","ON LOK SENIOR HEALTH SERVICES","On Lok PACE","On Lok, Inc.","11/01/2003","Yes","*","1578","1578"
"H5405","National PACE","National PACE","CENTER FOR ELDERS INDEPENDENCE","Center For Elders' Independence","Center For Elders Independence","11/01/2003","Yes","*","949","949"
"H5406","National PACE","National PACE","SUTTER VALLEY HOSPITALS","Sutter SeniorCare PACE","Sutter Valley Hospitals","11/01/2003","Yes","*","395","395"
"H5410","Local CCP","HMO/HMOPOS","HEALTHSPRING OF FLORIDA, INC.","Cigna Healthcare","The Cigna Group","05/01/2005","Yes","730","27405","28135"
"H5420","Local CCP","HMO/HMOPOS","Preferred Care Network, Inc.","UnitedHealthcare","UnitedHealth Group, Inc.","06/01/2005","Yes","*","40349","40349"
"H5422","Local CCP","HMO/HMOPOS","BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2006","Yes","622","18498","19120"
"H5425","Local CCP","HMO/HMOPOS","SCAN HEALTH PLAN","SCAN Health Plan","SCAN Group","05/01/2005","Yes","*","255153","255153"
"H5427","Local CCP","HMO/HMOPOS","FREEDOM HEALTH, INC.","Freedom Health, Inc.","Elevance Health, Inc.","09/01/2005","Yes","485","65080","65565"
"H5430","Local CCP","HMO/HMOPOS","ONE CARE BY CARE1ST HEALTH PLAN OF ARIZONA, INC.","WellCare","Centene Corporation","09/01/2005","Yes","*","*","*"
"H5431","Local CCP","HMO/HMOPOS","HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc.","Elevance Health, Inc.","08/01/2005","Yes","*","52307","52307"
"H5433","Local CCP","HMO/HMOPOS","ORANGE COUNTY HEALTH AUTHORITY","OneCare, a Medicare Medi-Cal Plan","Orange County Health Authority","08/01/2005","Yes","*","17512","17512"
"H5434","Local CCP","Local PPO","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Florida Blue","Guidewell Mutual Holding Corporation","08/01/2005","Yes","1226","73826","75052"
"H5435","PFFS","PFFS","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","09/01/2005","Yes","465","1698","2163"
"H5439","Local CCP","Local PPO","HEALTH NET LIFE INSURANCE COMPANY","Wellcare by Health Net","Centene Corporation","09/01/2005","Yes","750","16420","17170"
"H5447","Local CCP","HMO/HMOPOS","COMMUNITY FIRST HEALTH PLANS, INC.","Community First Health Plans","Bexar County Hospital District","01/01/2021","Yes","*","33","33"
"H5454","Local CCP","HMO/HMOPOS","CLEAR SPRING HEALTH OF ILLINOIS, INC.","Clear Spring Health","Group 1001","01/01/2019","Yes","*","321","321"
"H5471","Local CCP","HMO/HMOPOS","SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.","Elevance Health, Inc.","01/01/2012","Yes","*","59660","59660"
"H5472","Local CCP","HMO/HMOPOS","ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA INC","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2023","Yes","*","1912","1912"
"H5475","Local CCP","HMO/HMOPOS","MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Wellcare","Centene Corporation","01/01/2011","Yes","*","27912","27912"
"H5493","National PACE","National PACE","LIFE AT ST. FRANCIS HEALTHCARE, INC.","Saint Francis LIFE","Trinity Health Corporation","02/01/2013","Yes","*","296","296"
"H5496","Local CCP","HMO/HMOPOS","IMPERIAL HEALTH PLAN OF CALIFORNIA, INC.","Imperial Health Plan of California, Inc.","Imperial Health Plan of California","01/01/2018","Yes","108","8945","9053"
"H5521","Local CCP","Local PPO","AETNA LIFE INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation","01/01/2006","Yes","194612","1007019","1201631"
"H5522","Local CCP","Local PPO","AETNA LIFE INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation","01/01/2006","Yes","506847","613179","1120026"
"H5525","Local CCP","Local PPO","HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana","Humana Inc.","01/01/2006","Yes","15946","175702","191648"
"H5526","Local CCP","Local PPO","Highmark Western and Northeastern New York Inc.","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health","01/01/2006","Yes","1551","26431","27982"
"H5528","Local CCP","Local PPO","EMBLEMHEALTH PLAN, INC.","EmblemHealth","EmblemHealth, Inc.","01/01/2006","Yes","*","35","35"
"H5533","Local CCP","Local PPO","UPMC HEALTH NETWORK, INC.","UPMC for Life","UPMC Health System","01/01/2006","Yes","981","31452","32433"
"H5549","Local CCP","HMO/HMOPOS","VNS CHOICE","VNS Health Medicare","Visiting Nurse Service of New York","01/01/2007","Yes","*","9188","9188"
"H5577","Local CCP","HMO/HMOPOS","MCS ADVANTAGE, INC.","MCS Classicare","MHH Healthcare, L.P.","01/01/2007","Yes","1660","244974","246634"
"H5580","Local CCP","HMO/HMOPOS","MERCY CARE","Mercy Care Advantage","Mercy Care","01/01/2006","Yes","*","12381","12381"
"H5587","Local CCP","HMO/HMOPOS","HEALTH CHOICE ARIZONA, INC.","BCBSAZ Health Choice","Blue Cross Blue Shield of Arizona","01/01/2006","Yes","*","9137","9137"
"H5590","Local CCP","HMO/HMOPOS","Bridgeway Health Solutions of Arizona, Inc.","Wellcare by Allwell","Centene Corporation","01/01/2008","Yes","*","21759","21759"
"H5591","Local CCP","HMO/HMOPOS","MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","Martin's Point Health Care, Inc.","01/01/2007","Yes","8409","63603","72012"
"H5593","Local CCP","HMO/HMOPOS","AETNA HEALTH OF IOWA INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","*","4104","4104"
"H5594","Local CCP","HMO/HMOPOS","OPTIMUM HEALTHCARE, INC.","Optimum HealthCare, Inc.","Elevance Health, Inc.","01/01/2007","Yes","*","62607","62607"
"H5599","Local CCP","HMO/HMOPOS","NEW YORK QUALITY HEALTHCARE CORPORATION","Wellcare by Fidelis Care","Centene Corporation","01/01/2021","Yes","*","55652","55652"
"H5608","Local CCP","HMO/HMOPOS","DENVER HEALTH MEDICAL PLAN, INC.","Elevate Medicare Advantage","Denver Health and Hospital Authority","01/01/2006","Yes","*","5077","5077"
"H5610","National PACE","National PACE","CARE RESOURCES","Care Resources","Care Resources","09/01/2006","Yes","*","326","326"
"H5619","Local CCP","HMO/HMOPOS","ARCADIAN HEALTH PLAN, INC.","Humana","Humana Inc.","01/01/2007","Yes","3056","504615","507671"
"H5628","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare of Utah & Idaho","Molina Healthcare, Inc.,","01/01/2006","Yes","*","17795","17795"
"H5629","National PACE","National PACE","COMMUNITY ELDERCARE OF SAN DIEGO","St. Paul's PACE","St. Paul’s Episcopal Home","02/01/2008","Yes","*","1116","1116"
"H5644","Local CCP","HMO/HMOPOS","NETWORK HEALTH INSURANCE CORPORATION","Network Health Medicare Advantage Plans","Network Health, Inc.","01/01/2019","Yes","*","*","*"
"H5649","Local CCP","HMO/HMOPOS","CENTRAL HEALTH PLAN OF CALIFORNIA, INC.","Central Health Medicare Plan","Bright Health Group, Inc.","01/01/2006","Yes","*","44134","44134"
"H5652","Local CCP","HMO/HMOPOS","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","09/01/2005","Yes","461","5984","6445"
"H5703","Local CCP","HMO/HMOPOS","SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","South Country Health Alliance","01/01/2006","Yes","*","473","473"
"H5774","Local CCP","HMO/HMOPOS","TRIPLE S ADVANTAGE, INC.","Triple S Advantage","Guidewell Mutual Holding Corporation","01/01/2006","Yes","250","117236","117486"
"H5779","Local CCP","HMO/HMOPOS","MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Wellcare","Centene Corporation","01/01/2013","Yes","*","10481","10481"
"H5793","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (CT)","Aetna Medicare","CVS Health Corporation","01/01/2007","Yes","23","20601","20624"
"H5810","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","Molina Healthcare, Inc.,","01/01/2006","Yes","*","798","798"
"H5822","National PACE","National PACE","MIDLAND CARE CONNECTION","Midland Care PACE","Midland Care Connection, Inc.","01/01/2007","Yes","*","472","472"
"H5823","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare of Washington, Inc.","Molina Healthcare, Inc.,","01/01/2006","Yes","*","22139","22139"
"H5826","Local CCP","HMO/HMOPOS","COMMUNITY HEALTH PLAN OF WASHINGTON","Community Health Plan of WA Medicare Advantage","Community Health Plan of Washington","01/01/2007","Yes","101","15720","15821"
"H5828","Local CCP","HMO/HMOPOS","WELLPOINT TENNESSEE, INC.","Wellpoint","Elevance Health, Inc.","01/01/2021","Yes","*","43752","43752"
"H5843","Local CCP","HMO/HMOPOS","BANNER HEALTH PLAN, INC.","Banner Medicare Advantage","Banner Health","01/01/2021","Yes","*","16141","16141"
"H5852","Local CCP","HMO/HMOPOS","AIDS HEALTHCARE FOUNDATION","AHF","AIDS Healthcare Foundation","01/01/2006","Yes","*","611","611"
"H5854","Local CCP","HMO/HMOPOS","ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2007","Yes","*","29235","29235"
"H5859","Local CCP","HMO/HMOPOS","HEALTH PLAN OF CAREOREGON, INC.","CareOregon Advantage","CareOregon, Inc.","01/01/2006","Yes","*","16761","16761"
"H5883","Local CCP","HMO/HMOPOS","BLUE CARE NETWORK OF MICHIGAN","Blue Care Network","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","01/01/2006","Yes","24449","72767","97216"
